"Model","Relative Error","Standard Deviation","Gains","Total Time","Training Time (1,000 Rows)","Scoring Time (1,000 Rows)"
"Generalized Linear Model",0.17361215353610548,0.004937694845886099,,4162.0,36.986301369863014,20.54794520547945
"Deep Learning",0.15557166474548878,0.005558129160646942,,3601.0,655.4794520547945,35.95890410958904
"Decision Tree",0.15193062868195545,0.0042984672414591,,622.0,1.36986301369863,25.684931506849313
"Random Forest",0.1520158270538021,0.00449384130161986,,4672.0,23.287671232876715,70.2054794520548
"Gradient Boosted Trees",0.15393166533457547,0.00653531385186389,,21237.0,56.16438356164383,6.8493150684931505
"Support Vector Machine",0.17391077390949375,0.007980056479170215,,12180.0,376.027397260274,71.91780821917808
